排名,学校名称,省市,类型,总分,学校性质
345,盐城师范学院,江苏,师范,136.5,
民12,湖北民族大学,湖北,民族,,
346,仲恺农业工程学院,广东,农业,136.3,
347,湖北汽车工业学院,湖北,理工,135.3,
348,广西科技大学,广西,理工,135.1,
348,黄冈师范学院,湖北,师范,135.1,
350,南昌工程学院,江西,理工,135.0,
政16,中央司法警官学院,河北,政法,,
351,榆林学院,陕西,师范,134.3,
财37,新疆财经大学,新疆,财经,,
352,金陵科技学院,江苏,理工,134.0,
352,山东交通学院,山东,理工,134.0,
体8,南京体育学院,江苏,体育,,
354,湖北第二师范学院,湖北,师范,133.7,
政17,广东警官学院,广东,政法,,
355,徐州工程学院,江苏,理工,133.6,
356,天津农学院,天津,农业,132.0,
357,泉州师范学院,福建,师范,131.8,
医47,牡丹江医科大学,黑龙江,医药,,
358,湖北文理学院,湖北,综合,131.4,
359,洛阳师范学院,河南,师范,131.0,
360,天津职业技术师范大学,天津,师范,130.8,
政18,重庆警察学院,重庆,政法,,
医48,齐齐哈尔医学院,黑龙江,医药,,
医49,右江民族医学院,广西,医药,,
361,陕西理工大学,陕西,理工,130.6,
362,湖南第一师范学院,湖南,师范,130.0,
体9,广州体育学院,广东,体育,,
民13,内蒙古民族大学,内蒙古,民族,,
363,合肥师范学院,安徽,师范,129.8,
364,广东石油化工学院,广东,综合,129.6,
365,安徽科技学院,安徽,师范,128.9,
365,绵阳师范学院,四川,师范,128.9,
367,衢州学院,浙江,理工,128.8,
财38,广东金融学院,广东,财经,,
医50,西安医学院,陕西,医药,,
368,贵阳学院,贵州,综合,128.6,
369,惠州学院,广东,综合,128.5,
370,三明学院,福建,综合,128.4,
371,齐齐哈尔大学,黑龙江,综合,128.0,
医51,河北北方学院,河北,医药,,
372,重庆三峡学院,重庆,综合,127.9,
政19,河南警察学院,河南,政法,,
373,长春工程学院,吉林,理工,127.8,
373,丽水学院,浙江,师范,127.8,
375,衡阳师范学院,湖南,师范,127.5,
376,西藏农牧学院,西藏,农业,127.4,
财39,兰州财经大学,甘肃,财经,,
医52,内蒙古科技大学包头医学院,内蒙古,医药,,
医53,厦门医学院,福建,医药,,
377,攀枝花学院,四川,综合,127.2,
378,湘南学院,湖南,理工,127.1,
379,长春大学,吉林,综合,127.0,
379,铜仁学院,贵州,综合,127.0,
381,湖北科技学院,湖北,综合,126.9,
381,洛阳理工学院,河南,综合,126.9,
383,中国民用航空飞行学院,四川,理工,126.5,
384,岭南师范学院,广东,师范,125.7,
政20,郑州警察学院,河南,政法,,
385,阜阳师范大学,安徽,师范,125.6,
385,佳木斯大学,黑龙江,综合,125.6,
385,黔南民族师范学院,贵州,师范,125.6,
385,泰山学院,山东,综合,125.6,
体10,山东体育学院,山东,体育,,
389,黑龙江科技大学,黑龙江,理工,125.5,
390,龙岩学院,福建,综合,125.0,
391,防灾科技学院,河北,理工,124.8,
392,成都师范学院,四川,师范,124.6,
393,内江师范学院,四川,师范,124.2,
394,滁州学院,安徽,师范,123.9,
395,湖北理工学院,湖北,理工,123.6,
政21,山东政法学院,山东,政法,,
396,周口师范学院,河南,师范,123.3,
397,河北科技师范学院,河北,师范,123.2,
397,江苏第二师范学院,江苏,师范,123.2,
政22,辽宁警察学院,辽宁,政法,,
财40,河北金融学院,河北,财经,,
399,山东航空学院,山东,理工,123.1,
400,怀化学院,湖南,综合,122.8,
政23,云南警官学院,云南,政法,,
401,沈阳工程学院,辽宁,理工,122.4,
财41,福建江夏学院,福建,财经,,
402,莆田学院,福建,综合,122.3,
403,湖南城市学院,湖南,综合,122.2,
404,北华航天工业学院,河北,理工,121.7,
405,韶关学院,广东,综合,121.6,
406,湖南工程学院,湖南,理工,121.4,
407,曲靖师范学院,云南,师范,121.2,
408,湖南文理学院,湖南,综合,120.9,
408,浙江水利水电学院,浙江,理工,120.9,
410,潍坊学院,山东,综合,120.8,
411,宜宾学院,四川,综合,120.7,
412,德州学院,山东,综合,120.4,
412,皖西学院,安徽,师范,120.4,
414,南阳师范学院,河南,师范,119.9,
415,北部湾大学,广西,综合,119.8,
416,贵州理工学院,贵州,理工,119.7,
416,湖南科技学院,湖南,综合,119.7,
418,枣庄学院,山东,综合,119.6,
政24,福建警察学院,福建,政法,,
财43,湖南财政经济学院,湖南,财经,,
财42,嘉兴南湖学院,浙江,财经,,
419,牡丹江师范学院,黑龙江,师范,119.5,
420,宿迁学院,江苏,综合,119.4,
421,太原师范学院,山西,师范,119.2,
422,邵阳学院,湖南,理工,119.1,
423,广东第二师范学院,广东,师范,119.0,
423,玉林师范学院,广西,师范,119.0,
425,石家庄学院,河北,师范,118.9,
财44,广西财经学院,广西,财经,,
426,通化师范学院,吉林,师范,118.8,
426,西安文理学院,陕西,师范,118.8,
428,河南工程学院,河南,理工,118.3,
428,肇庆学院,广东,综合,118.3,
428,遵义师范学院,贵州,师范,118.3,
政25,吉林警察学院,吉林,政法,,
体11,西安体育学院,陕西,体育,,
体12,哈尔滨体育学院,黑龙江,体育,,
431,黑龙江工程学院,黑龙江,理工,117.9,
431,昆明学院,云南,综合,117.9,
